# Constructed from biom file
#OTU ID	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	0.011	0.001	0.0	0.001	0.0	0.002	0.015	0.001	0.002	0.002	0.0	0.001	0.001	0.003	0.022	0.001	0.0	0.001	0.0	0.002	0.001	0.002	0.013	0.005	0.013	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.099	0.024	0.0	0.0	0.159	0.066	0.028	0.007	0.073	0.233	0.063	0.027	0.058	0.173	0.073	0.049	0.007	0.017	0.012	0.043	0.153	0.229	0.01	0.0	0.025	0.168	0.041	0.057
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.011	0.003	0.01	0.001	0.061	0.021	0.004	0.136	0.027	0.104	0.026	0.004	0.008	0.002	0.026	0.058	0.002	0.016	0.006	0.02	0.006	0.029	0.098	0.001	0.16	0.08	0.041	0.041
k__Bacteria;p__Actinobacteria;c__OPB41;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.048	0.006	0.061	0.647	0.132	0.01	0.0	0.139	0.013	0.011	0.171	0.358	0.108	0.104	0.132	0.04	0.225	0.034	0.408	0.048	0.044	0.232	0.053	0.003	0.042	0.006	0.292	0.11
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.002	0.006	0.017	0.0	0.0	0.009	0.004	0.0	0.001	0.002	0.0	0.0	0.001	0.001	0.0	0.005	0.001	0.0	0.0	0.0	0.006	0.009	0.0	0.0	0.004	0.006	0.0	0.002
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	0.001	0.009	0.0	0.0	0.001	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.004	0.001	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.601	0.123	0.195	0.014	0.006	0.174	0.054	0.074	0.029	0.01	0.004	0.004	0.007	0.018	0.007	0.266	0.098	0.001	0.006	0.003	0.166	0.016	0.007	0.029	0.026	0.047	0.004	0.006
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.0	0.0	0.0	0.0	0.003	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.003
k__Bacteria;p__Firmicutes;c__Clostridia;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.222	0.761	0.702	0.323	0.63	0.709	0.655	0.588	0.849	0.438	0.717	0.6	0.804	0.689	0.749	0.546	0.632	0.923	0.555	0.88	0.424	0.474	0.788	0.11	0.709	0.67	0.583	0.76
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.0	0.04	0.001	0.007	0.001	0.002	0.017	0.002	0.006	0.022	0.005	0.001	0.002	0.003	0.002	0.003	0.0	0.005	0.0	0.0	0.005	0.0	0.012	0.115	0.0	0.002	0.005	0.006
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.0	0.021	0.0	0.006	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.029	0.001
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.011	0.004	0.006	0.0	0.0	0.001	0.003	0.002	0.005	0.0	0.003	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.003	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.005	0.012	0.004	0.008	0.0	0.002	0.224	0.035	0.001	0.147	0.0	0.0	0.011	0.005	0.007	0.002	0.002	0.0	0.0	0.005	0.192	0.008	0.016	0.697	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.001
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.002	0.005	0.0	0.0	0.001	0.0	0.01	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.015	0.0	0.0	0.013
