# Constructed from biom file
#OTU ID	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.000180212650928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221273905484	0.000294377391816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000390968624768	0.000112587255123	0.000132135306554	0.0	0.0	0.0	0.00025493945188	0.0	0.0	6.42343268243e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.00504595422599	0.00940556809631	0.00147116516281	0.000733245343892	0.000351741118537	0.000862812769629	0.00411573958593	0.0149821109123	0.00138480180024	0.00142247510669	0.00206064174271	0.000542225837061	0.000317611561061	0.000963789067878	0.000775494377666	0.0251326881049	0.00481446688586	0.00129320479661	0.000293226468576	0.00112587255123	0.00317124735729	0.00276434001382	0.00198728139905	0.0119250425894	0.00662842574888	0.0143613770625	0.000826702490441	0.000321171634121
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.109208866462	0.0218209179834	0.000490388387603	0.0	0.16830812522	0.0493241299971	0.030556248441	0.00402504472272	0.0647394841613	0.22743796428	0.0585811009714	0.0210112511861	0.0662220104812	0.197163706457	0.0862737495153	0.0454261629722	0.00610615312353	0.0179873030802	0.00899227836966	0.0540418824589	0.157637420719	0.248445058742	0.0087440381558	0.0	0.0303377947737	0.162864127113	0.0525989459543	0.0565904419322
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.00738871868805	0.00451467268623	0.0198116908592	0.00234638510045	0.05768554344	0.0153868277251	0.00349214267897	0.138864042934	0.0276960360048	0.0853485064011	0.0273770974389	0.00366002440016	0.0146101318088	0.00385515627151	0.0317952694843	0.05635341867	0.0037576326914	0.0195156360216	0.00351871762291	0.0163251519928	0.00409619450317	0.0250518313753	0.0951907790143	0.000946431951543	0.142638623327	0.0689549806478	0.0436085563708	0.0289054470709
k__Bacteria;p__Actinobacteria;c__OPB41;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000474158368895	0.0	0.0	0.0	0.0	0.0	0.000156103652825	0.0	0.0	0.0	0.0	0.0	0.0	0.000198728139905	0.0	0.00114722753346	0.000101853738032	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.0491980537034	0.00601956358164	0.0654178109062	0.636456958498	0.133661625044	0.00776531492666	0.000124719381392	0.140205724508	0.00952051237667	0.0118539592224	0.184721813365	0.355157923275	0.0946482451961	0.105190692551	0.134160527336	0.0404308460818	0.197275716299	0.029978838467	0.404457042322	0.0468362981311	0.0410940803383	0.225812024879	0.0496820349762	0.00416430058679	0.0396430847674	0.0102872275413	0.286555750749	0.11831963001
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015880578053	0.0	0.0	0.0	0.0	0.000117564072419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.000360425301856	0.0079006772009	0.0170655158886	0.0	0.000527611677805	0.00862812769629	0.00798204040908	0.00178890876565	0.000346200450061	0.00205468626521	0.000441566087724	0.000135556459265	0.000635223122122	0.00068842076277	0.0	0.00483921323759	0.000939408172851	0.0	0.000390968624768	0.000450349020491	0.00290697674419	0.0081202487906	0.00139109697933	0.0	0.00497131931166	0.00957425137503	0.00020667562261	0.00147738951696
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	0.000540637952784	0.0116629044394	0.0	0.000439947206335	0.00175870559268	0.0	0.000623596906959	0.00245974955277	0.000346200450061	0.0	0.0	0.000542225837061	0.0	0.000826104915324	0.0	0.00140493287543	0.000352278064819	0.0	0.0	0.000225174510245	0.000792811839323	0.0	0.000198728139905	0.000378572780617	0.00216698534098	0.000712976166225	0.00020667562261	0.000128468653649
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.595422598666	0.121519939804	0.192918791683	0.00982548760815	0.00545198733732	0.185360943342	0.0592417061611	0.0793828264758	0.0276960360048	0.0151730678046	0.00235501913453	0.00610004066694	0.00492297919644	0.0218917802561	0.00988755331524	0.266000624415	0.112963832785	0.00152833294145	0.00830808327632	0.00472866471515	0.157901691332	0.0171043538355	0.00715421303657	0.0263108082529	0.0210325047801	0.0486860867794	0.00289345871654	0.00552415210689
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.0	0.0	0.0	0.0	0.00298979950756	0.00517687661777	0.000124719381392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012488292226	0.0	0.0	0.000293226468576	0.000225174510245	0.0	0.0	0.0	0.0	0.0	0.003157465879	0.0	0.00250513874615
k__Bacteria;p__Firmicutes;c__Clostridia;o__	0.0	0.0	0.0	0.0	0.000175870559268	0.0	0.0	0.0	0.0	0.000158052789632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000198728139905	0.0	0.00012746972594	0.0	0.0	6.42343268243e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.217877094972	0.751316779533	0.685170655159	0.331573544508	0.622405909251	0.723324705206	0.63444749314	0.586091234347	0.864462523801	0.449344080923	0.707977627318	0.608512945642	0.799587104971	0.654412777089	0.730709577356	0.55416796753	0.642437764209	0.919938866682	0.561919655948	0.863093897771	0.432082452431	0.456288873531	0.788354531002	0.0936967632027	0.728616953474	0.677632919128	0.569804691537	0.763617677287
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000103337811305	6.42343268243e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7742156192e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020667562261	6.42343268243e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.000720850603712	0.0395033860045	0.000980776775206	0.0129051180525	0.00140696447415	0.00258843830889	0.0164629583437	0.000447227191413	0.00207720270036	0.0218112849692	0.00647630261996	0.000813338755592	0.00222328092743	0.00413052457662	0.00135711516092	0.00156103652825	0.00317050258337	0.0054079473313	0.00048871078096	0.000225174510245	0.00528541226216	0.00138217000691	0.0170906200318	0.1289040318	0.00165710643722	0.00305561214097	0.00330680996177	0.00918550873587
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000137684152554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0187393526405	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000198728139905	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.0	0.0	0.00843468026677	0.0	0.0	0.0	0.0	0.000223613595707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000235128144839	0.000586452937152	0.0	0.0	0.0	0.0	0.0	0.00038240917782	0.0	0.0059935930557	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000567859170926	0.00012746972594	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.0	0.000376222723853	9.80776775206e-05	0.000146649068778	0.00316567006683	0.0	0.000249438762784	0.00223613595707	0.000346200450061	0.000158052789632	0.000147188695908	0.00108445167412	0.000794028902652	0.00357978796641	0.0	0.000156103652825	0.0183184593706	0.000705384434517	0.00557130290294	0.000225174510245	0.000528541226216	0.00120939875605	0.000397456279809	0.0	0.0006373486297	0.000101853738032	0.0283145602976	0.00044964028777
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0.0	0.0	0.0	0.0	0.00175870559268	0.0	0.0	0.000894454382826	0.0	0.0	0.00103032087136	0.000135556459265	0.00015880578053	0.0017898939832	0.000387747188833	0.0	0.00669328323156	0.00246884552081	0.00459388134102	0.00236433235758	0.000528541226216	0.00155494125777	0.00357710651828	0.00170357751278	0.00203951561504	0.000203707476064	0.00423685026351	0.000513874614594
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000158052789632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.0045053162732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.000623596906959	0.0	0.0	0.000158052789632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004173290938	0.00113571834185	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.0057668048297	0.0206922498119	0.00794429187917	0.00513271740724	0.0	0.0010066148979	0.225991519082	0.0275044722719	0.000346200450061	0.155523944998	0.000147188695908	0.000542225837061	0.015562966492	0.00523199779705	0.00465296626599	0.00156103652825	0.00305307656177	0.000352692217258	0.0	0.00979509119568	0.191596194503	0.0117484450587	0.0184817170111	0.698466780239	0.000892288081581	0.000101853738032	0.00103337811305	0.00089928057554
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	0.0	0.0	0.0	0.0	0.0	0.000997755051135	0.0	0.000865501125151	0.000474158368895	0.0	0.000135556459265	0.0	0.000137684152554	0.0	0.00140493287543	0.0	0.0	0.0	0.0	0.000396405919662	0.0	0.0	0.00397501419648	0.00012746972594	0.0	0.000103337811305	6.42343268243e-05
